Year,Industry,AI_Tool,Region,Company_Size,Adoption_Rate_%,Number_of_Users_(Millions)
2019,Healthcare,ChatGPT,North America,Small,66.99,2.541
2019,Healthcare,ChatGPT,North America,Medium,69.45,2.218
2019,Healthcare,ChatGPT,North America,Large,74.06,0.564
2019,Healthcare,ChatGPT,North America,Enterprise,82.06,3.609
2019,Healthcare,ChatGPT,Europe,Small,66.32,0.393
2019,Healthcare,ChatGPT,Europe,Medium,68.07,3.311
2019,Healthcare,ChatGPT,Europe,Large,68.12,0.898
2019,Healthcare,ChatGPT,Europe,Enterprise,80.17,1.063
2019,Healthcare,ChatGPT,Asia-Pacific,Small,63.97,1.563
2019,Healthcare,ChatGPT,Asia-Pacific,Medium,60.35,1.093
2019,Healthcare,ChatGPT,Asia-Pacific,Large,68.95,1.251
2019,Healthcare,ChatGPT,Asia-Pacific,Enterprise,82.26,1.767
2019,Healthcare,ChatGPT,Latin America,Small,55.86,0.781
2019,Healthcare,ChatGPT,Latin America,Medium,54.1,1.522
2019,Healthcare,ChatGPT,Latin America,Large,57.82,1.87
2019,Healthcare,ChatGPT,Latin America,Enterprise,68.44,0.867
2019,Healthcare,ChatGPT,Middle East & Africa,Small,44.6,1.596
2019,Healthcare,ChatGPT,Middle East & Africa,Medium,50.83,1.261
2019,Healthcare,ChatGPT,Middle East & Africa,Large,56.95,0.373
2019,Healthcare,ChatGPT,Middle East & Africa,Enterprise,60.77,2.79
2019,Healthcare,GitHub Copilot,North America,Small,68.29,1.299
2019,Healthcare,GitHub Copilot,North America,Medium,65.12,1.85
2019,Healthcare,GitHub Copilot,North America,Large,69.69,3.389
2019,Healthcare,GitHub Copilot,North America,Enterprise,83.79,3.342
2019,Healthcare,GitHub Copilot,Europe,Small,62.95,0.565
2019,Healthcare,GitHub Copilot,Europe,Medium,65.69,0.908
2019,Healthcare,GitHub Copilot,Europe,Large,69.54,1.564
2019,Healthcare,GitHub Copilot,Europe,Enterprise,76.8,1.322
2019,Healthcare,GitHub Copilot,Asia-Pacific,Small,61.16,1.079
2019,Healthcare,GitHub Copilot,Asia-Pacific,Medium,72.23,2.125
2019,Healthcare,GitHub Copilot,Asia-Pacific,Large,74.3,0.621
2019,Healthcare,GitHub Copilot,Asia-Pacific,Enterprise,79.46,3.926
2019,Healthcare,GitHub Copilot,Latin America,Small,47.29,0.248
2019,Healthcare,GitHub Copilot,Latin America,Medium,57.45,2.395
2019,Healthcare,GitHub Copilot,Latin America,Large,64.12,2.546
2019,Healthcare,GitHub Copilot,Latin America,Enterprise,71.73,0.598
2019,Healthcare,GitHub Copilot,Middle East & Africa,Small,43.64,1.913
2019,Healthcare,GitHub Copilot,Middle East & Africa,Medium,50.76,1.678
2019,Healthcare,GitHub Copilot,Middle East & Africa,Large,55.08,1.046
2019,Healthcare,GitHub Copilot,Middle East & Africa,Enterprise,64.26,1.262
2019,Healthcare,Midjourney,North America,Small,68.25,3.066
2019,Healthcare,Midjourney,North America,Medium,75.42,1.98
2019,Healthcare,Midjourney,North America,Large,76.45,2.999
2019,Healthcare,Midjourney,North America,Enterprise,80.42,2.433
2019,Healthcare,Midjourney,Europe,Small,59.86,1.707
2019,Healthcare,Midjourney,Europe,Medium,71.26,1.727
2019,Healthcare,Midjourney,Europe,Large,70.35,1.347
2019,Healthcare,Midjourney,Europe,Enterprise,76.8,2.142
2019,Healthcare,Midjourney,Asia-Pacific,Small,62.12,1.458
2019,Healthcare,Midjourney,Asia-Pacific,Medium,69.43,2.708
2019,Healthcare,Midjourney,Asia-Pacific,Large,69.77,3.268
2019,Healthcare,Midjourney,Asia-Pacific,Enterprise,78.99,3.268
2019,Healthcare,Midjourney,Latin America,Small,53.66,2.209
2019,Healthcare,Midjourney,Latin America,Medium,56.32,0.754
2019,Healthcare,Midjourney,Latin America,Large,60.39,2.496
2019,Healthcare,Midjourney,Latin America,Enterprise,71.87,3.258
2019,Healthcare,Midjourney,Middle East & Africa,Small,44.19,0.674
2019,Healthcare,Midjourney,Middle East & Africa,Medium,50.69,1.228
2019,Healthcare,Midjourney,Middle East & Africa,Large,58.18,0.309
2019,Healthcare,Midjourney,Middle East & Africa,Enterprise,66.04,1.848
2019,Healthcare,Gemini,North America,Small,59.34,0.617
2019,Healthcare,Gemini,North America,Medium,68.32,1.38
2019,Healthcare,Gemini,North America,Large,74.35,2.108
2019,Healthcare,Gemini,North America,Enterprise,84.62,3.1
2019,Healthcare,Gemini,Europe,Small,61.03,2.948
2019,Healthcare,Gemini,Europe,Medium,64.7,1.057
2019,Healthcare,Gemini,Europe,Large,62.32,1.11
2019,Healthcare,Gemini,Europe,Enterprise,77.89,0.519
2019,Healthcare,Gemini,Asia-Pacific,Small,63.24,0.463
2019,Healthcare,Gemini,Asia-Pacific,Medium,77.85,1.365
2019,Healthcare,Gemini,Asia-Pacific,Large,72.23,0.832
2019,Healthcare,Gemini,Asia-Pacific,Enterprise,82.21,2.222
2019,Healthcare,Gemini,Latin America,Small,54.57,0.856
2019,Healthcare,Gemini,Latin America,Medium,58.01,2.191
2019,Healthcare,Gemini,Latin America,Large,65.61,2.199
2019,Healthcare,Gemini,Latin America,Enterprise,62.39,1.816
2019,Healthcare,Gemini,Middle East & Africa,Small,43.04,0.294
2019,Healthcare,Gemini,Middle East & Africa,Medium,49.73,1.571
2019,Healthcare,Gemini,Middle East & Africa,Large,50.8,1.729
2019,Healthcare,Gemini,Middle East & Africa,Enterprise,65.27,0.839
2019,Healthcare,Claude,North America,Small,61.32,2.892
2019,Healthcare,Claude,North America,Medium,76.2,0.853
2019,Healthcare,Claude,North America,Large,71.87,3.35
2019,Healthcare,Claude,North America,Enterprise,81.71,3.635
2019,Healthcare,Claude,Europe,Small,63.25,2.642
2019,Healthcare,Claude,Europe,Medium,60.08,1.801
2019,Healthcare,Claude,Europe,Large,63.57,0.584
2019,Healthcare,Claude,Europe,Enterprise,78.74,3.573
2019,Healthcare,Claude,Asia-Pacific,Small,64.04,1.297
2019,Healthcare,Claude,Asia-Pacific,Medium,71.13,1.473
2019,Healthcare,Claude,Asia-Pacific,Large,75.09,3.373
2019,Healthcare,Claude,Asia-Pacific,Enterprise,82.19,3.295
2019,Healthcare,Claude,Latin America,Small,47.28,0.58
2019,Healthcare,Claude,Latin America,Medium,55.93,2.541
2019,Healthcare,Claude,Latin America,Large,61.17,0.32
2019,Healthcare,Claude,Latin America,Enterprise,65.14,0.797
2019,Healthcare,Claude,Middle East & Africa,Small,54.46,1.87
2019,Healthcare,Claude,Middle East & Africa,Medium,53.9,0.813
2019,Healthcare,Claude,Middle East & Africa,Large,53.1,1.043
2019,Healthcare,Claude,Middle East & Africa,Enterprise,68.15,2.63
2019,Healthcare,Jasper,North America,Small,68.85,2.382
2019,Healthcare,Jasper,North America,Medium,71.65,2.191
2019,Healthcare,Jasper,North America,Large,74.02,1.253
2019,Healthcare,Jasper,North America,Enterprise,79.99,1.278
2019,Healthcare,Jasper,Europe,Small,59.69,2.695
2019,Healthcare,Jasper,Europe,Medium,66.36,2.217
2019,Healthcare,Jasper,Europe,Large,70.05,2.169
2019,Healthcare,Jasper,Europe,Enterprise,83.81,2.277
2019,Healthcare,Jasper,Asia-Pacific,Small,65.5,1.155
2019,Healthcare,Jasper,Asia-Pacific,Medium,64.57,0.394
2019,Healthcare,Jasper,Asia-Pacific,Large,68.72,3.252
2019,Healthcare,Jasper,Asia-Pacific,Enterprise,82.93,3.975
2019,Healthcare,Jasper,Latin America,Small,49.11,0.28
2019,Healthcare,Jasper,Latin America,Medium,57.86,2.706
2019,Healthcare,Jasper,Latin America,Large,61.89,2.993
2019,Healthcare,Jasper,Latin America,Enterprise,67.71,2.938
2019,Healthcare,Jasper,Middle East & Africa,Small,43.61,1.888
2019,Healthcare,Jasper,Middle East & Africa,Medium,45.94,0.885
2019,Healthcare,Jasper,Middle East & Africa,Large,57.86,2.727
2019,Healthcare,Jasper,Middle East & Africa,Enterprise,60.02,2.18
2019,Finance,ChatGPT,North America,Small,71.46,2.335
2019,Finance,ChatGPT,North America,Medium,80.61,3.995
2019,Finance,ChatGPT,North America,Large,85.23,3.791
2019,Finance,ChatGPT,North America,Enterprise,88.43,3.39
2019,Finance,ChatGPT,Europe,Small,74.33,1.574
2019,Finance,ChatGPT,Europe,Medium,79.22,1.443
2019,Finance,ChatGPT,Europe,Large,82.06,3.612
2019,Finance,ChatGPT,Europe,Enterprise,90.06,4.151
2019,Finance,ChatGPT,Asia-Pacific,Small,75.06,3.072
2019,Finance,ChatGPT,Asia-Pacific,Medium,93.41,3.199
2019,Finance,ChatGPT,Asia-Pacific,Large,86.82,3.911
2019,Finance,ChatGPT,Asia-Pacific,Enterprise,93.61,1.892
2019,Finance,ChatGPT,Latin America,Small,56.91,1.765
2019,Finance,ChatGPT,Latin America,Medium,64.05,0.424
2019,Finance,ChatGPT,Latin America,Large,79.26,1.418
2019,Finance,ChatGPT,Latin America,Enterprise,70.53,2.228
2019,Finance,ChatGPT,Middle East & Africa,Small,55.11,0.591
2019,Finance,ChatGPT,Middle East & Africa,Medium,66.36,1.891
2019,Finance,ChatGPT,Middle East & Africa,Large,64.14,2.119
2019,Finance,ChatGPT,Middle East & Africa,Enterprise,77.72,0.687
2019,Finance,GitHub Copilot,North America,Small,75.18,2.205
2019,Finance,GitHub Copilot,North America,Medium,77.39,2.607
2019,Finance,GitHub Copilot,North America,Large,76.9,3.136
2019,Finance,GitHub Copilot,North America,Enterprise,93.75,1.611
2019,Finance,GitHub Copilot,Europe,Small,66.83,0.41
2019,Finance,GitHub Copilot,Europe,Medium,74.54,3.602
2019,Finance,GitHub Copilot,Europe,Large,82.02,1.92
2019,Finance,GitHub Copilot,Europe,Enterprise,91.46,1.171
2019,Finance,GitHub Copilot,Asia-Pacific,Small,71.1,2.113
2019,Finance,GitHub Copilot,Asia-Pacific,Medium,75.39,2.801
2019,Finance,GitHub Copilot,Asia-Pacific,Large,77.96,3.739
2019,Finance,GitHub Copilot,Asia-Pacific,Enterprise,94.67,3.617
2019,Finance,GitHub Copilot,Latin America,Small,68.49,1.636
2019,Finance,GitHub Copilot,Latin America,Medium,69.13,1.116
2019,Finance,GitHub Copilot,Latin America,Large,75.07,0.424
2019,Finance,GitHub Copilot,Latin America,Enterprise,75.17,0.768
2019,Finance,GitHub Copilot,Middle East & Africa,Small,58.78,1.548
2019,Finance,GitHub Copilot,Middle East & Africa,Medium,65.1,0.612
2019,Finance,GitHub Copilot,Middle East & Africa,Large,54.03,0.691
2019,Finance,GitHub Copilot,Middle East & Africa,Enterprise,70.9,1.739
2019,Finance,Midjourney,North America,Small,81.53,2.738
2019,Finance,Midjourney,North America,Medium,74.28,0.523
2019,Finance,Midjourney,North America,Large,90.77,2.509
2019,Finance,Midjourney,North America,Enterprise,87.26,3.799
2019,Finance,Midjourney,Europe,Small,66.07,0.54
2019,Finance,Midjourney,Europe,Medium,76.85,2.606
2019,Finance,Midjourney,Europe,Large,80.28,3.798
2019,Finance,Midjourney,Europe,Enterprise,86.46,2.671
2019,Finance,Midjourney,Asia-Pacific,Small,79.34,2.033
2019,Finance,Midjourney,Asia-Pacific,Medium,73.05,2.159
2019,Finance,Midjourney,Asia-Pacific,Large,82.39,3.976
2019,Finance,Midjourney,Asia-Pacific,Enterprise,93.35,4.27
2019,Finance,Midjourney,Latin America,Small,61.12,0.501
2019,Finance,Midjourney,Latin America,Medium,62.51,1.21
2019,Finance,Midjourney,Latin America,Large,67.64,0.698
2019,Finance,Midjourney,Latin America,Enterprise,81.4,2.959
2019,Finance,Midjourney,Middle East & Africa,Small,60.6,2.307
2019,Finance,Midjourney,Middle East & Africa,Medium,63.23,2.602
2019,Finance,Midjourney,Middle East & Africa,Large,63.68,2.47
2019,Finance,Midjourney,Middle East & Africa,Enterprise,72.76,3.006
2019,Finance,Gemini,North America,Small,74.92,1.629
2019,Finance,Gemini,North America,Medium,80.47,3.214
2019,Finance,Gemini,North America,Large,87.19,3.804
2019,Finance,Gemini,North America,Enterprise,92.19,2.241
2019,Finance,Gemini,Europe,Small,73.3,0.707
2019,Finance,Gemini,Europe,Medium,78.25,3.57
2019,Finance,Gemini,Europe,Large,85.22,1.653
2019,Finance,Gemini,Europe,Enterprise,88.08,3.99
2019,Finance,Gemini,Asia-Pacific,Small,74.3,3.55
2019,Finance,Gemini,Asia-Pacific,Medium,77.48,2.387
2019,Finance,Gemini,Asia-Pacific,Large,79.73,1.451
2019,Finance,Gemini,Asia-Pacific,Enterprise,98.0,1.939
2019,Finance,Gemini,Latin America,Small,64.63,2.625
2019,Finance,Gemini,Latin America,Medium,68.17,2.763
2019,Finance,Gemini,Latin America,Large,69.95,0.531
2019,Finance,Gemini,Latin America,Enterprise,74.41,2.212
2019,Finance,Gemini,Middle East & Africa,Small,60.9,1.266
2019,Finance,Gemini,Middle East & Africa,Medium,61.41,0.631
2019,Finance,Gemini,Middle East & Africa,Large,68.65,2.253
2019,Finance,Gemini,Middle East & Africa,Enterprise,72.75,0.695
2019,Finance,Claude,North America,Small,75.98,0.629
2019,Finance,Claude,North America,Medium,77.97,3.274
2019,Finance,Claude,North America,Large,83.12,0.733
2019,Finance,Claude,North America,Enterprise,93.93,4.64
2019,Finance,Claude,Europe,Small,64.21,2.669
2019,Finance,Claude,Europe,Medium,69.37,3.304
2019,Finance,Claude,Europe,Large,77.13,3.083
2019,Finance,Claude,Europe,Enterprise,87.15,2.626
2019,Finance,Claude,Asia-Pacific,Small,76.43,0.765
2019,Finance,Claude,Asia-Pacific,Medium,77.36,2.102
2019,Finance,Claude,Asia-Pacific,Large,82.93,0.625
2019,Finance,Claude,Asia-Pacific,Enterprise,89.85,0.93
2019,Finance,Claude,Latin America,Small,61.29,2.364
2019,Finance,Claude,Latin America,Medium,61.69,1.928
2019,Finance,Claude,Latin America,Large,69.56,1.242
2019,Finance,Claude,Latin America,Enterprise,79.61,3.51
2019,Finance,Claude,Middle East & Africa,Small,57.9,0.482
2019,Finance,Claude,Middle East & Africa,Medium,62.05,1.857
2019,Finance,Claude,Middle East & Africa,Large,67.1,2.236
2019,Finance,Claude,Middle East & Africa,Enterprise,76.99,2.795
2019,Finance,Jasper,North America,Small,83.61,2.617
2019,Finance,Jasper,North America,Medium,76.93,3.504
2019,Finance,Jasper,North America,Large,93.76,1.639
2019,Finance,Jasper,North America,Enterprise,89.77,1.209
2019,Finance,Jasper,Europe,Small,61.5,1.923
2019,Finance,Jasper,Europe,Medium,72.9,0.619
2019,Finance,Jasper,Europe,Large,81.37,1.54
2019,Finance,Jasper,Europe,Enterprise,95.5,3.975
2019,Finance,Jasper,Asia-Pacific,Small,69.41,3.192
2019,Finance,Jasper,Asia-Pacific,Medium,79.97,3.36
2019,Finance,Jasper,Asia-Pacific,Large,77.72,3.651
2019,Finance,Jasper,Asia-Pacific,Enterprise,98.0,4.309
2019,Finance,Jasper,Latin America,Small,64.72,3.199
2019,Finance,Jasper,Latin America,Medium,63.12,0.743
2019,Finance,Jasper,Latin America,Large,63.15,3.072
2019,Finance,Jasper,Latin America,Enterprise,83.42,3.578
2019,Finance,Jasper,Middle East & Africa,Small,56.54,1.338
2019,Finance,Jasper,Middle East & Africa,Medium,66.95,1.158
2019,Finance,Jasper,Middle East & Africa,Large,67.02,2.654
2019,Finance,Jasper,Middle East & Africa,Enterprise,75.19,3.573
2019,Retail,ChatGPT,North America,Small,56.2,1.42
2019,Retail,ChatGPT,North America,Medium,65.49,0.708
2019,Retail,ChatGPT,North America,Large,68.48,1.047
2019,Retail,ChatGPT,North America,Enterprise,78.06,2.75
2019,Retail,ChatGPT,Europe,Small,46.86,0.474
2019,Retail,ChatGPT,Europe,Medium,63.11,2.223
2019,Retail,ChatGPT,Europe,Large,69.2,1.966
2019,Retail,ChatGPT,Europe,Enterprise,71.46,3.098
2019,Retail,ChatGPT,Asia-Pacific,Small,64.24,2.856
2019,Retail,ChatGPT,Asia-Pacific,Medium,68.02,1.575
2019,Retail,ChatGPT,Asia-Pacific,Large,68.58,2.516
2019,Retail,ChatGPT,Asia-Pacific,Enterprise,79.47,1.159
2019,Retail,ChatGPT,Latin America,Small,47.23,1.07
2019,Retail,ChatGPT,Latin America,Medium,40.97,1.011
2019,Retail,ChatGPT,Latin America,Large,51.92,1.461
2019,Retail,ChatGPT,Latin America,Enterprise,63.87,2.572
2019,Retail,ChatGPT,Middle East & Africa,Small,46.51,2.038
2019,Retail,ChatGPT,Middle East & Africa,Medium,39.48,1.884
2019,Retail,ChatGPT,Middle East & Africa,Large,43.19,1.108
2019,Retail,ChatGPT,Middle East & Africa,Enterprise,57.78,2.837
2019,Retail,GitHub Copilot,North America,Small,49.73,1.666
2019,Retail,GitHub Copilot,North America,Medium,62.64,0.99
2019,Retail,GitHub Copilot,North America,Large,69.47,0.916
2019,Retail,GitHub Copilot,North America,Enterprise,72.24,1.485
2019,Retail,GitHub Copilot,Europe,Small,52.75,1.848
2019,Retail,GitHub Copilot,Europe,Medium,61.82,0.788
2019,Retail,GitHub Copilot,Europe,Large,60.88,0.789
2019,Retail,GitHub Copilot,Europe,Enterprise,67.83,0.61
2019,Retail,GitHub Copilot,Asia-Pacific,Small,55.57,0.794
2019,Retail,GitHub Copilot,Asia-Pacific,Medium,56.86,1.216
2019,Retail,GitHub Copilot,Asia-Pacific,Large,73.86,0.5
2019,Retail,GitHub Copilot,Asia-Pacific,Enterprise,74.14,3.038
2019,Retail,GitHub Copilot,Latin America,Small,40.2,1.781
2019,Retail,GitHub Copilot,Latin America,Medium,48.86,2.269
2019,Retail,GitHub Copilot,Latin America,Large,52.55,2.169
2019,Retail,GitHub Copilot,Latin America,Enterprise,60.12,2.325
2019,Retail,GitHub Copilot,Middle East & Africa,Small,37.88,0.821
2019,Retail,GitHub Copilot,Middle East & Africa,Medium,42.7,1.144
2019,Retail,GitHub Copilot,Middle East & Africa,Large,43.94,1.134
2019,Retail,GitHub Copilot,Middle East & Africa,Enterprise,63.47,2.452
2019,Retail,Midjourney,North America,Small,60.31,1.69
2019,Retail,Midjourney,North America,Medium,64.25,1.86
2019,Retail,Midjourney,North America,Large,67.49,1.955
2019,Retail,Midjourney,North America,Enterprise,72.18,1.148
2019,Retail,Midjourney,Europe,Small,49.97,0.295
2019,Retail,Midjourney,Europe,Medium,52.31,1.02
2019,Retail,Midjourney,Europe,Large,60.41,0.628
2019,Retail,Midjourney,Europe,Enterprise,66.67,3.005
2019,Retail,Midjourney,Asia-Pacific,Small,62.75,2.542
2019,Retail,Midjourney,Asia-Pacific,Medium,64.53,1.77
2019,Retail,Midjourney,Asia-Pacific,Large,66.31,2.083
